	SRR11808870
Obelia_geniculata_	4	
Leiochone_leiopygos_	27080	
Acartia_clausii_	3	
Scolelepis_foliosa_	657	
Nemopsis_bachei_	11	
Nephtys_cirrosa_	1672	
Peringia_ulvae_	42	
Streblospio_shrubsolii_	231	
Prionus_insularis_	9	
Paracalanus_quasimodo_	8	
Homo_sapiens_	13	
Glycera_alba_	519	
Acartia_margalefi_	55	
Arthropoda_	133	
Arenicola_marina_	20	
Paracartia_grani_	578	
Clytia_hemisphaerica_	260	
Sepiola_atlantica_	32	
Pleopis_polyphemoides_	11	
Phascolosoma_granulatum_	4	
Eukaryota_	214499	
Phylo_foetida_	18	
Chromadorea_	12	
Tubificoides_benedii_	1354	
Tubificoides_pseudogaster_	705	
