	ERR1	ERR20	ERR21	ERR2	ERR22	ERR3	ERR4	ERR23	ERR5	ERR6	ERR25	ERR7	ERR26	ERR8	ERR40	ERR27	ERR9	ERR41	ERR28	ERR29	ERR42	ERR43	ERR45	ERR46	ERR60	ERR61	ERR48	ERR62	ERR49	ERR63	ERR66	ERR67	ERR68	ERR69	ERR10	ERR11	ERR12	ERR14	ERR15	ERR16	ERR30	ERR17	ERR31	ERR18	ERR32	ERR19	ERR33	ERR34	ERR35	ERR36	ERR50	ERR37	ERR51	ERR38	ERR52	ERR39	ERR53	ERR54	ERR56	ERR70	ERR71	ERR58	ERR72	ERR59	ERR73
Abra_alba_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Homo_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Squamata_	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	
Sabellaria_spinulosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Homo_sapiens_	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chamaesipho_columna_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chordata_	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Halichondria_panicea_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pseudocalanus_elongatus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
Eukaryota_	1000	203	42	52457	202	361	323	1174	1596	229	2390	1644	123	44	53	113	698	897	4057	63	2182	1375	2192	288	301	237	979	180	285	288	31	11	3654	140	2824	5424	4705	7	1469	51	475	74	68	1233	1898	334	21131	11059	365	994	725	6	13	1065	6	167	4	13	13022	2182	389	317	1484	69	6849	
Flustrellidra_hispida_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
